frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,2,0,0,0,6,2,22,4
2,0,0,0,0,13,7,0,0
3,0,0,0,0,17,10,25,8
4,0,0,0,0,11,3,30,9
5,0,0,0,0,14,4,32,8
6,0,0,0,0,18,5,27,6
7,0,0,0,0,16,4,26,5
8,0,0,0,0,16,5,28,6
9,0,0,0,0,14,4,32,7
10,0,0,0,0,18,6,34,6
11,0,0,0,0,12,3,26,8
12,0,0,0,0,14,1,28,5
13,0,0,0,0,11,4,32,5
14,0,0,0,0,14,3,0,0
15,0,0,0,0,10,4,13,3
16,13,5,0,0,17,5,20,5
17,11,5,0,0,19,5,18,6
18,0,0,0,0,14,6,20,0
19,14,5,0,0,15,1,16,6
20,11,2,0,0,9,2,16,6
21,15,9,0,0,24,10,13,8
22,13,9,0,0,0,0,12,5
23,12,10,0,0,0,0,14,9
24,17,13,0,0,24,11,6,4
25,17,8,0,0,16,6,7,4
26,18,9,0,0,15,9,10,4
27,19,10,0,0,0,0,10,4
28,19,2,0,0,14,7,11,5
29,2,0,0,0,15,4,4,1
30,10,3,0,0,10,6,4,2
31,18,6,0,0,7,4,5,1
32,18,8,0,0,9,3,0,0
33,15,10,0,0,10,4,5,1
34,18,11,0,0,6,3,3,0
35,19,11,0,0,3,3,0,0
36,20,8,0,0,6,3,0,0
37,20,12,0,0,2,1,0,0
38,0,0,0,0,4,1,0,0
39,24,15,0,0,2,1,0,0
40,29,18,0,0,0,0,0,0
