frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,1,0,0,0
12,0,0,0,0,1,0,0,0
13,0,0,0,0,11,0,0,0
14,0,0,0,0,16,1,0,0
15,0,0,0,0,20,2,0,0
16,0,0,0,0,23,2,0,0
17,4,0,0,0,21,3,0,0
18,6,0,0,0,20,3,0,0
19,0,0,0,0,20,2,0,0
20,0,0,3,0,21,0,0,0
21,3,0,18,6,20,2,0,0
22,3,1,20,8,19,1,0,0
23,4,1,23,6,24,4,0,0
24,7,2,19,7,32,2,0,0
25,5,1,12,4,20,3,0,0
26,6,1,13,7,8,5,0,0
27,8,0,12,2,3,3,0,0
28,4,1,8,5,1,0,0,0
29,2,0,7,4,2,2,0,0
30,4,0,14,5,1,1,0,0
31,4,0,16,8,0,0,0,0
32,0,0,14,9,0,0,0,0
33,0,0,12,1,0,0,0,0
34,0,0,7,1,0,0,0,0
35,0,0,3,1,0,0,0,0
36,0,0,9,2,0,0,0,0
37,0,0,7,4,0,0,0,0
38,0,0,6,4,0,0,0,0
39,0,0,7,2,0,0,0,0
40,0,0,6,5,0,0,0,0
