frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,0,0,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0
3,0,0,3,0,0,0,0,0
4,0,0,5,0,0,0,0,0
5,0,0,6,0,0,0,0,0
6,0,0,6,0,0,0,0,0
7,0,0,1,0,0,0,0,0
8,0,0,3,1,0,0,0,0
9,0,0,4,1,0,0,0,0
10,0,0,5,2,0,0,0,0
11,0,0,7,2,0,0,0,0
12,0,0,9,2,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,20,2,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,7,0
20,19,3,0,0,0,0,10,1
21,19,4,20,3,0,0,12,3
22,17,2,22,5,0,0,6,1
23,14,3,0,0,0,0,4,2
24,14,4,23,6,0,0,11,5
25,10,2,12,8,0,0,14,6
26,12,3,25,10,0,0,15,9
27,12,2,23,5,0,0,12,5
28,13,2,14,3,0,0,11,7
29,17,3,12,1,0,0,11,8
30,5,1,5,2,0,0,0,0
31,7,2,2,0,0,0,9,8
32,12,3,4,1,0,0,10,7
33,11,6,8,0,0,0,16,7
34,13,2,3,2,0,0,14,7
35,12,0,5,1,0,0,13,9
36,12,0,6,1,0,0,14,9
37,7,0,3,2,0,0,11,5
38,0,0,2,1,0,0,10,6
39,0,0,0,0,0,0,13,2
40,0,0,1,0,0,0,4,1
