frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,0,0,0,0,3,0,32,5
2,0,0,0,0,5,2,21,7
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,5,3,42,5
6,0,0,0,0,7,3,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,7,2,0,0
9,0,0,0,0,8,3,0,0
10,0,0,0,0,8,2,0,0
11,0,0,0,0,8,1,0,0
12,0,0,0,0,7,2,30,4
13,0,0,0,0,9,0,0,0
14,0,0,0,0,14,2,0,0
15,0,0,0,0,11,1,47,10
16,0,0,0,0,8,1,38,14
17,0,0,0,0,11,1,45,10
18,0,0,0,0,0,0,48,11
19,0,0,1,0,0,0,34,8
20,0,0,1,0,0,0,0,0
21,0,0,5,2,15,4,38,7
22,0,0,3,0,13,5,42,13
23,0,0,3,0,15,5,30,10
24,0,0,1,0,20,7,21,2
25,0,0,5,1,16,5,26,10
26,0,0,4,1,0,0,20,5
27,0,0,6,4,0,0,17,6
28,0,0,0,0,0,0,25,9
29,0,0,6,3,0,0,17,8
30,0,0,4,2,10,7,20,12
31,0,0,4,2,0,0,0,0
32,0,0,3,1,0,0,0,0
33,0,0,3,1,0,0,0,0
34,0,0,1,0,0,0,17,10
35,0,0,1,1,0,0,12,7
36,0,0,4,2,0,0,15,5
37,0,0,5,1,0,0,9,3
38,0,0,0,0,0,0,9,6
39,0,0,0,0,13,5,8,3
40,0,0,0,0,14,4,0,0
