frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,0,0,0,0,4,1,0,0
2,0,0,0,0,3,0,0,0
3,0,0,0,0,5,0,0,0
4,0,0,0,0,5,1,0,0
5,0,0,0,0,3,0,0,0
6,0,0,0,0,5,1,0,0
7,0,0,0,0,5,0,0,0
8,0,0,0,0,7,0,0,0
9,0,0,0,0,5,0,0,0
10,0,0,0,0,5,0,0,0
11,0,0,0,0,6,1,0,0
12,0,0,0,0,14,2,0,0
13,0,0,2,0,15,1,0,0
14,0,0,3,0,20,3,0,0
15,0,0,2,0,26,2,0,0
16,0,0,4,0,24,4,0,0
17,0,0,3,0,22,5,0,0
18,0,0,8,1,19,2,0,0
19,0,0,10,1,14,3,0,0
20,0,0,11,1,12,2,0,0
21,0,0,24,10,24,9,0,0
22,1,0,23,9,16,7,0,0
23,1,0,30,10,20,6,0,0
24,3,1,25,8,22,4,0,0
25,4,1,40,18,20,2,0,0
26,2,0,35,18,15,4,0,0
27,2,0,33,13,14,6,0,0
28,2,2,35,11,14,3,0,0
29,3,0,39,11,0,0,0,0
30,1,1,27,13,9,3,0,0
31,1,0,23,12,8,2,0,0
32,1,0,22,15,7,4,0,0
33,1,0,28,10,8,2,0,0
34,0,0,19,8,5,3,0,0
35,0,0,23,10,9,4,0,0
36,0,0,17,5,6,3,0,0
37,0,0,14,6,7,5,0,0
38,0,0,13,8,5,3,0,0
39,0,0,13,4,5,3,0,0
40,2,1,11,3,3,2,0,0
