frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,3,1
9,0,0,0,0,0,0,6,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,7,1
13,0,0,0,0,0,0,7,1
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,14,0
21,0,0,0,0,0,0,12,5
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,13,5
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,19,9
26,0,0,0,0,0,0,17,15
27,0,0,0,0,0,0,16,4
28,0,0,0,0,0,0,14,11
29,0,0,0,0,0,0,15,8
30,0,0,0,0,0,0,14,5
31,0,0,0,0,0,0,14,6
32,0,0,0,0,0,0,15,6
33,0,0,0,0,0,0,13,6
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,7,1
36,0,0,0,0,0,0,9,6
37,0,0,0,0,0,0,9,4
38,0,0,0,0,0,0,10,5
39,0,0,0,0,0,0,11,4
40,0,0,0,0,0,0,15,7
