frame,crow_all_counts_101,crow_feed_counts_101,crow_all_counts_102,crow_feed_counts_102,crow_all_counts_104,crow_feed_counts_104,crow_all_counts_106,crow_feed_counts_106
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0
5,14,0,0,0,0,0,0,0
6,18,2,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,21,1,0,0,0,0,0,0
10,13,0,0,0,0,0,0,0
11,17,4,0,0,0,0,0,0
12,16,0,0,0,0,0,0,0
13,15,3,0,0,1,0,0,0
14,12,4,0,0,0,0,0,0
15,17,4,0,0,1,0,0,0
16,22,0,0,0,1,0,0,0
17,21,2,0,0,1,0,7,0
18,20,6,0,0,0,0,0,0
19,22,5,0,0,4,0,4,1
20,26,4,0,0,6,1,9,0
21,19,6,0,0,12,4,15,0
22,16,7,0,0,14,5,16,3
23,18,4,0,0,11,4,17,2
24,10,4,0,0,12,3,16,2
25,11,5,0,0,14,3,15,2
26,12,4,0,0,6,3,16,2
27,9,1,0,0,2,1,17,3
28,12,3,0,0,0,0,10,4
29,10,2,0,0,6,4,4,1
30,9,1,0,0,4,0,6,0
31,8,3,0,0,5,1,4,0
32,11,2,0,0,2,0,0,0
33,8,2,0,0,0,0,0,0
34,8,2,0,0,0,0,0,0
35,6,3,0,0,0,0,0,0
36,9,2,0,0,0,0,0,0
37,2,1,0,0,0,0,0,0
38,3,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
