"","Distance","EOS_num","AOS_E_num","AOS_C_num","Food_Amount_Num"
"Distance",NA,8.03006106053772e-10,4.55332269666542e-08,0.00709094893469064,1
"EOS_num",8.03006106053772e-10,NA,3.82627263206814e-12,0.00268635923421434,0.971041960441685
"AOS_E_num",4.55332269666542e-08,3.82627263206814e-12,NA,0.00947736276772604,0.757396390405597
"AOS_C_num",0.00709094893469064,0.00268635923421434,0.00947736276772604,NA,0.582540248696588
"Food_Amount_Num",1,0.971041960441685,0.757396390405597,0.582540248696588,NA
