effect,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,NA,(Intercept),0.1910640297619678,0.023463035192462404,-13.478179210415012,2.1023106499588302e-41,0.1501930113709438,0.24305700468793207
fixed,NA,phaseAfter,2.646498777592086,0.1835547802651908,14.032170580201509,9.907221081771074e-45,2.310119303321188,3.0318589043115787
fixed,NA,distance_scaled,1.1571440180822403,0.04512780055093161,3.7425014245231987,1.8219749966589746e-4,1.071991038391186,1.2490610747950088
fixed,NA,food_scaled,1.3409589101453676,0.04919947682996583,7.996369170666367,1.281417926772734e-15,1.2479152146721169,1.4409398792134385
ran_pars,date,sd__(Intercept),0.29865663830330846,NA,NA,NA,NA,NA
