frame,date,site,crow_all,crow_feed,proportion,Sample_Point,food_amount,distance
21,20210213,Food102,0,0,NA,102,0,80
22,20210213,Food102,0,0,NA,102,0,80
23,20210213,Food102,0,0,NA,102,0,80
24,20210213,Food102,0,0,NA,102,0,80
25,20210213,Food102,0,0,NA,102,0,80
26,20210213,Food102,0,0,NA,102,0,80
27,20210213,Food102,0,0,NA,102,0,80
28,20210213,Food102,0,0,NA,102,0,80
29,20210213,Food102,0,0,NA,102,0,80
30,20210213,Food102,0,0,NA,102,0,80
31,20210213,Food102,0,0,NA,102,0,80
32,20210213,Food102,0,0,NA,102,0,80
33,20210213,Food102,0,0,NA,102,0,80
34,20210213,Food102,0,0,NA,102,0,80
35,20210213,Food102,0,0,NA,102,0,80
36,20210213,Food102,0,0,NA,102,0,80
37,20210213,Food102,0,0,NA,102,0,80
38,20210213,Food102,0,0,NA,102,0,80
39,20210213,Food102,0,0,NA,102,0,80
40,20210213,Food102,0,0,NA,102,0,80
1,20210213,Food104,6,2,0.3333333333333333,104,18,120
2,20210213,Food104,13,7,0.5384615384615384,104,18,120
3,20210213,Food104,17,10,0.5882352941176471,104,18,120
4,20210213,Food104,11,3,0.2727272727272727,104,18,120
5,20210213,Food104,14,4,0.2857142857142857,104,18,120
6,20210213,Food104,18,5,0.2777777777777778,104,18,120
7,20210213,Food104,16,4,0.25,104,18,120
8,20210213,Food104,16,5,0.3125,104,18,120
9,20210213,Food104,14,4,0.2857142857142857,104,18,120
10,20210213,Food104,18,6,0.3333333333333333,104,18,120
11,20210213,Food104,12,3,0.25,104,18,120
12,20210213,Food104,14,1,0.07142857142857142,104,18,120
13,20210213,Food104,11,4,0.36363636363636365,104,18,120
14,20210213,Food104,14,3,0.21428571428571427,104,18,120
15,20210213,Food104,10,4,0.4,104,18,120
16,20210213,Food104,17,5,0.29411764705882354,104,18,120
17,20210213,Food104,19,5,0.2631578947368421,104,18,120
18,20210213,Food104,14,6,0.42857142857142855,104,18,120
19,20210213,Food104,15,1,0.06666666666666667,104,18,120
20,20210213,Food104,9,2,0.2222222222222222,104,18,120
21,20210213,Food104,24,10,0.4166666666666667,104,18,120
22,20210213,Food104,0,0,NA,104,18,120
