"","df","AIC","delta_AIC"
"model_full",5,309.839466558657,0
"model_no_phase",4,518.283434545687,208.44396798703
"model_no_food",4,373.233353088328,63.3938865296714
"model_no_dist",4,321.905873674147,12.0664071154898
