frame,date,site,crow_all,crow_feed,proportion
15,20210211,Food101,0,0,NA
16,20210211,Food101,0,0,NA
17,20210211,Food101,0,0,NA
18,20210211,Food101,0,0,NA
19,20210211,Food101,0,0,NA
20,20210211,Food101,0,0,NA
21,20210211,Food101,0,0,NA
22,20210211,Food101,1,0,0
23,20210211,Food101,1,0,0
24,20210211,Food101,3,1,0.3333333333333333
25,20210211,Food101,4,1,0.25
26,20210211,Food101,2,0,0
27,20210211,Food101,2,0,0
28,20210211,Food101,2,2,1
29,20210211,Food101,3,0,0
30,20210211,Food101,1,1,1
31,20210211,Food101,1,0,0
32,20210211,Food101,1,0,0
33,20210211,Food101,1,0,0
34,20210211,Food101,0,0,NA
35,20210211,Food101,0,0,NA
36,20210211,Food101,0,0,NA
37,20210211,Food101,0,0,NA
38,20210211,Food101,0,0,NA
39,20210211,Food101,0,0,NA
40,20210211,Food101,2,1,0.5
1,20210211,Food102,0,0,NA
2,20210211,Food102,0,0,NA
3,20210211,Food102,0,0,NA
4,20210211,Food102,0,0,NA
5,20210211,Food102,0,0,NA
6,20210211,Food102,0,0,NA
7,20210211,Food102,0,0,NA
8,20210211,Food102,0,0,NA
9,20210211,Food102,0,0,NA
10,20210211,Food102,0,0,NA
11,20210211,Food102,0,0,NA
12,20210211,Food102,0,0,NA
13,20210211,Food102,2,0,0
14,20210211,Food102,3,0,0
15,20210211,Food102,2,0,0
16,20210211,Food102,4,0,0
17,20210211,Food102,3,0,0
18,20210211,Food102,8,1,0.125
19,20210211,Food102,10,1,0.1
20,20210211,Food102,11,1,0.09090909090909091
21,20210211,Food102,24,10,0.4166666666666667
22,20210211,Food102,23,9,0.391304347826087
23,20210211,Food102,30,10,0.3333333333333333
24,20210211,Food102,25,8,0.32
25,20210211,Food102,40,18,0.45
26,20210211,Food102,35,18,0.5142857142857142
27,20210211,Food102,33,13,0.3939393939393939
28,20210211,Food102,35,11,0.3142857142857143
29,20210211,Food102,39,11,0.28205128205128205
30,20210211,Food102,27,13,0.48148148148148145
31,20210211,Food102,23,12,0.5217391304347826
32,20210211,Food102,22,15,0.6818181818181818
33,20210211,Food102,28,10,0.35714285714285715
