"","npar","AIC","LRT","Pr(Chi)"
"<none>",NA,309.839466558657,NA,NA
"phase",1,518.283434545687,210.44396798703,1.09901862210205e-47
"distance_scaled",1,321.905873674147,14.0664071154898,0.000176467585939242
"food_scaled",1,373.233353088328,65.3938865296714,6.13288503262835e-16
